5 Mot inconnu : Zepto => ====== Liste des portables « Zepto » ====== | zepto

9 Mot inconnu : A15 => <note important>Pour leur nouveau modèle d'entrée de gamme Titan A15 (~350€ TTC), le site du constructeur annonce (août 2008) : | a15

10 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => >Les tests réalisés à ce jour par 3 G Plus sur Ubuntu 8.04 indiquent un problème de compatibilité avec la carte graphique SIS Mirage (impossible d'avoir la 3D, au mieux 2D avec la bonne résolution). | 3 g => suggestions : ['3\xa0G']
10 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => >Les tests réalisés à ce jour par 3 G Plus sur Ubuntu 8.04 indiquent un problème de compatibilité avec la carte graphique SIS Mirage (impossible d'avoir la 3D, au mieux 2D avec la bonne résolution). | 2d => suggestions : ['2ᵈ']

14 Mot inconnu : Znote => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| | znote
17 Mot inconnu : alsa => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | alsa
17 Mot inconnu : dépots => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | dépots
17 Mot inconnu : backport => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | backport
17 Typographie : points de suspension. Utilisez le caractère dédié. => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ... => suggestions : ['…']
17 Mot inconnu : lilo => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | lilo
17 Mot inconnu : grub => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | grub
17 Typographie : points de suspension. Utilisez le caractère dédié. => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ... => suggestions : ['…']
17 Mot inconnu : ndiswrapper => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ndiswrapper
17 Mot inconnu : install => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | install
17 Mot inconnu : ok => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ok
17 Accord de nombre erroné : « pilote » devrait être au pluriel. => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | pilote => suggestions : ['pilotes']
17 Mot inconnu : Ralink => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ralink
17 Mot inconnu : linux => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | linux
17 Mot inconnu : iwpriv => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | iwpriv
17 Accord de genre erroné : « routeur » est masculin, « réussie » est féminin. => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | réussie => suggestions : ['réussi']
17 Mot inconnu : ip => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ip
17 Typographie : points de suspension. Utilisez le caractère dédié. => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | ... => suggestions : ['…']
17 Mot inconnu : Gutsy => |Znote 6025WD| non | Son, Wifi, lecteur CD | Pour le moment, j'ai résolu le probleme de son en recompilant alsa 1.0.16 (j'ai lu depuis que le paquet est dans les dépots backport, non testé...). Pour le lecteur CD, a priori il suffit d'utiliser lilo au lieu de grub, pas encore testé... Pour le wifi, j'ai essayé les pilotes windows fournis avec ndiswrapper, install ok mais non reconnus. Les pilote Ralink linux non pas l'air de fonctionner (j'ai pu tout configurer mon wifi avec iwpriv, association au routeur réussie, mais impossible d'obtenir une ip...). Le lecteur de CD peut être accessible si on le désactive du BIOS | Gutsy | | gutsy
