
3 Mot inconnu : rEFInd => ====== rEFInd ====== | refind
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : UEFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | uefi
16 Mot inconnu : CSM => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | csm
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : rEFInd => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | refind
16 Mot inconnu : rEFInd => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | refind
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : ELILO => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | elilo
16 Mot inconnu : GRUB => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | grub
16 Mot inconnu : Legacy => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | legacy
16 Mot inconnu : GRUB => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | grub
16 Mot inconnu : stub => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | stub
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : ext2 => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | ext2
16 Mot inconnu : ReiserFS => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | reiserfs
16 Mot inconnu : Btrfs => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | btrfs
16 Mot inconnu : NTFS => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | ntfs
16 Mot inconnu : HFS => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | hfs
