
7 Mot inconnu : Laurux => ====== Laurux ====== | laurux
75 Mot inconnu : Laurux => Cliquez sur l'icône Laurux qui se trouve sur votre bureau. Le premier écran de Laurux s'affiche. C'est ici que vous devez entrer le nom d'utilisateur défini précédemment dans MySQL avec le mot de passe associé. | laurux
75 Mot inconnu : MySQL => Cliquez sur l'icône Laurux qui se trouve sur votre bureau. Le premier écran de Laurux s'affiche. C'est ici que vous devez entrer le nom d'utilisateur défini précédemment dans MySQL avec le mot de passe associé. | mysql
81 Mot inconnu : Laurux => Validez votre saisie en cliquant sur le bouton « Valider ». Laurux vous propose alors de créer la base de données sur le serveur MySQL. Acceptez. | laurux
81 Mot inconnu : MySQL => Validez votre saisie en cliquant sur le bouton « Valider ». Laurux vous propose alors de créer la base de données sur le serveur MySQL. Acceptez. | mysql

83 Mot inconnu : Laurux => Laurux vous informe que la base de travail vierge a bien été créée et invite ensuite à redémarrer le programme. | laurux

87 Mot inconnu : Laurux => Vous voici devant l'écran principal de Laurux. | laurux

91 Mot inconnu : Laurux => Avant de pouvoir commencer à travailler, il vous faut restaurer la base de démonstration livrée avec Laurux. Pour ce faire, ouvrez le menu « Base » et cliquez sur « Restauration ». | laurux

95 Mot inconnu : Laurux3 => À l'aide du sélecteur de fichiers, sélectionner le répertoire Laurux3 et cliquez sur « OK ». | laurux3

99 Mot inconnu : Laurux => Si tout se passe bien, Laurux vous informe que la restauration a réussi. | laurux

101 Mot inconnu : Laurux => À présent, Laurux est pleinement opérationnel. Vous pouvez commencer votre exploration. | laurux

103 Mot inconnu : Laurux => ==== Laurux en réseau ==== | laurux

105 Mot inconnu : Laurux => Laurux permet une utilisation en réseau et offre la possibilité à plusieurs postes de travailler sur la même base de données. Ainsi, pendant qu'un utilisateur se charge de la facturation, un autre peut rentrer les commandes et une troisième personne peut se charger de les réceptionner. La base de données unique et commune à tous les postes est stockée sur un poste serveur. les autres ordinateurs sont les postes clients. | laurux
105 Après un point, une majuscule est généralement requise. => Laurux permet une utilisation en réseau et offre la possibilité à plusieurs postes de travailler sur la même base de données. Ainsi, pendant qu'un utilisateur se charge de la facturation, un autre peut rentrer les commandes et une troisième personne peut se charger de les réceptionner. La base de données unique et commune à tous les postes est stockée sur un poste serveur. les autres ordinateurs sont les postes clients. | les => suggestions : ['Les']

107 Mot inconnu : laurux => <note important>le forum sur **laurux.fr** est une mines d'informations, les questions sont traitées très rapidement,  | laurux
107 Accord de nombre erroné : « mines » devrait être au singulier. => <note important>le forum sur **laurux.fr** est une mines d'informations, les questions sont traitées très rapidement,  | mines => suggestions : ['minée', 'mine']
107 Espace(s) en fin de ligne à supprimer. => <note important>le forum sur **laurux.fr** est une mines d'informations, les questions sont traitées très rapidement,  |   => suggestions : ['']

108 Mot inconnu : laurux => laurux évolue en fonction des besoins de ses utilisateurs un conseil, participez !</note> | laurux

112 Mot inconnu : Laurux => Sur le poste serveur ou est stockée la base de Laurux, il faut suivre les instructions de la page [[mysql#connexions_entrantes|mysql pour les connexions entrantes]]. | laurux
112 Mot inconnu : mysql => Sur le poste serveur ou est stockée la base de Laurux, il faut suivre les instructions de la page [[mysql#connexions_entrantes|mysql pour les connexions entrantes]]. | mysql
112 Mot inconnu : mysql => Sur le poste serveur ou est stockée la base de Laurux, il faut suivre les instructions de la page [[mysql#connexions_entrantes|mysql pour les connexions entrantes]]. | mysql

116 Mot inconnu : MySQL => La syntaxe est identique à la création d'un compte utilisateur MySQL classique comme nous l'avons abordé plus haut à la différence qu'il faut remplacer « localhost » par l'adresse IP de la machine. | mysql
116 Mot inconnu : localhost => La syntaxe est identique à la création d'un compte utilisateur MySQL classique comme nous l'avons abordé plus haut à la différence qu'il faut remplacer « localhost » par l'adresse IP de la machine. | localhost

118 Mot inconnu : Laurux => Pour les postes clients, il faut procéder à l'installation de Laurux comme nous l'avons abordée plus haut à la seule différence qu'au premier lancement de Laurux, dans le formulaire de création de la base, il faut remplacer « localhost » par l'adresse IP du serveur. | laurux
118 Mot inconnu : Laurux => Pour les postes clients, il faut procéder à l'installation de Laurux comme nous l'avons abordée plus haut à la seule différence qu'au premier lancement de Laurux, dans le formulaire de création de la base, il faut remplacer « localhost » par l'adresse IP du serveur. | laurux
118 Mot inconnu : localhost => Pour les postes clients, il faut procéder à l'installation de Laurux comme nous l'avons abordée plus haut à la seule différence qu'au premier lancement de Laurux, dans le formulaire de création de la base, il faut remplacer « localhost » par l'adresse IP du serveur. | localhost

122 Mot inconnu : Laurux => Pour désinstaller Laurux il suffit de supprimer le répertoire Laurux. | laurux
122 Mot inconnu : Laurux => Pour désinstaller Laurux il suffit de supprimer le répertoire Laurux. | laurux

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.laurux.fr|Site officiel]] |    => suggestions : ['']
