
4 Mot inconnu : GoogleDrive [[16:27]] => ====== Utiliser GoogleDrive sous Ubuntu====== <|> googledrive
41 Un seul point après « etc. » [[228:234]] => Ubuntu utilise GNOME comme environnement de bureau par défaut. GNOME Online Accounts est un utilitaire de connexion pour GNOME. Il supporte les services en ligne les plus populaires comme Google, Facebook, Microsoft, Nextcloud, etc... Y compris Google drive (vous avez un Google drive automatiquement si vous avez un compte Google / Android). L'outil est installé par défaut dans la version Gnome d'Ubuntu. <|> etc... => suggestions : ['etc.']

43 Guillemets typographiques ouvrants. [[84:85]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. [[101:102]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. [[109:110]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. [[116:117]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> " => suggestions : ['\xa0»', '”']
43 Une de ces ponctuations est superflue. [[274:277]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> , . => suggestions : [',', '.']
43 Typographie : points de suspension. Utilisez le caractère dédié. [[276:279]] => Lancez le panneau des paramètres de Gnome, et dans le panneau de gauche, choisissez "Comptes en ligne", puis "Google". Tapez vos identifiants Google dans la fenêtre qui s'ouvre. Gnome vous demande alors le type de documents qui doit être synchronisé (Mail, photos, documents, ...). Cochez ce qui vous convient. <|> ... => suggestions : ['…']

49 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A chaque re-démarrage de votre PC, **gnome-online-accounts** vous demandera normalement votre mot de passe Ubuntu (si vous ne le tapiez pas déjà). <|> a => suggestions : ['À']
49 Mot inconnu : gnome-online-accounts [[37:58]] => A chaque re-démarrage de votre PC, **gnome-online-accounts** vous demandera normalement votre mot de passe Ubuntu (si vous ne le tapiez pas déjà). <|> gnome-online-accounts
51 Mot inconnu : Gnome-Online-Accounts [[28:49]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> gnome-online-accounts
51 Mot inconnu : gvfs [[67:71]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> gvfs
51 Mot inconnu : Virtual [[83:90]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> virtual
51 Mot inconnu : System [[96:102]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> system
51 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[156:157]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> a => suggestions : ['À']
51 Mot inconnu : __n'avez [[206:214]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> __n'avez
51 Mot inconnu : pas__ [[215:220]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> pas__
51 Mot inconnu : __ne [[302:306]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> __ne
51 Mot inconnu : accéder__ [[323:332]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> accéder__
51 Espace(s) surnuméraire(s) à supprimer. [[524:526]] => **Attention !** La solution Gnome-Online-Accounts est un montage **gvfs** (//Gnome Virtual File System//), donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Vous n'avez pas de synchro automatique, et vous n'accédez pas non plus à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|>    => suggestions : [' ']

57 Mot inconnu : Gnome-online-accounts [[3:24]] => Si Gnome-online-accounts est une application mature, standard et très simple sous Ubuntu pour accéder à Google Drive, ses limites (synchro, partage de liens) peuvent justifier le recours à d'autres solutions, décrites plus bas. <|> gnome-online-accounts

58 Mot inconnu : CloudCross [[5:15]] => =====CloudCross===== <|> cloudcross

77 Mot inconnu : mkdir [[100:105]] => Une fois **drive** installé, vérifiez qu'un dossier **/home/user/GDrive** existe, sinon créez-le (**mkdir GDrive**). <|> mkdir
77 Mot inconnu : GDrive [[106:112]] => Une fois **drive** installé, vérifiez qu'un dossier **/home/user/GDrive** existe, sinon créez-le (**mkdir GDrive**). <|> gdrive

82 Mot inconnu : GDrive [[23:29]] => Pour monter le dossier GDrive (ici **/home/user/GDrive** mais vous pouvez spécifier tout autre chemin) et se placer dans le dossier nouvellement créé, tapez au terminal : <|> gdrive

93 Mot inconnu : GDrive [[80:86]] => Vous devez ouvrir ce lien dans un navigateur pour lier le dossier local à votre GDrive.\\ <|> gdrive

94 Mot inconnu : GDrive [[123:129]] => Vous devez vous connecter à votre compte, accepter de donner les autorisations demandées (accès aux documents hébergés sur GDrive) et un code d'authentification vous est fourni. Il ne reste plus qu'à le copier-coller dans le terminal. <|> gdrive
94 Confusion. Ou vous confondez “à” (préposition) avec “a” (avoir), ou vous devez employer “au”. Exemple : _à_ midi, il _a_ pris son déjeuner _au_ restaurant. [[198:202]] => Vous devez vous connecter à votre compte, accepter de donner les autorisations demandées (accès aux documents hébergés sur GDrive) et un code d'authentification vous est fourni. Il ne reste plus qu'à le copier-coller dans le terminal. <|> à le => suggestions : ['a le', 'au']

97 Mot inconnu : GDrive [[95:101]] => Placez-vous dans le dossier nouvellement créé pour importer (//pull//) les documents sur votre GDrive dans votre dossier local: <|> gdrive

103 Mot inconnu : push [[17:21]] => Pour exporter (//push//) de votre dossier local vers votre GDrive: <|> push
103 Mot inconnu : GDrive [[59:65]] => Pour exporter (//push//) de votre dossier local vers votre GDrive: <|> gdrive

114 Mot inconnu : Google-drive-ocamlfuse [[5:27]] => =====Google-drive-ocamlfuse===== <|> google-drive-ocamlfuse

115 Mot inconnu : Google-drive-ocamlfuse [[0:22]] => Google-drive-ocamlfuse est une alternative libre à Insync permettant d’accéder facilement à vos données stockées sur Google Drive. <|> google-drive-ocamlfuse
115 Mot inconnu : Insync [[51:57]] => Google-drive-ocamlfuse est une alternative libre à Insync permettant d’accéder facilement à vos données stockées sur Google Drive. <|> insync
123 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[35:37]] =>   * Accès à la poubelle (répertoire .trash) ; <|>  . => suggestions : ['. ', '.']

140 Mot inconnu : __Paramétrage [[0:13]] => __Paramétrage initial__ (à ne faire qu'une fois) :  <|> __paramétrage
140 Mot inconnu : initial__ [[14:23]] => __Paramétrage initial__ (à ne faire qu'une fois) :  <|> initial__
140 Espace(s) en fin de ligne à supprimer. [[50:51]] => __Paramétrage initial__ (à ne faire qu'une fois) :  <|>   => suggestions : ['']

149 Mot inconnu : gdrive [[105:111]] => Pendant le montage, tous les fichiers ou répertoires que vous déposerez dans votre pseudo-répertoire **~/gdrive** seront copiés sur votre Drive. Et à l'inverse tout ce qui sera déposé sur votre Drive, quel qu’en soit l'origine, sera accessible via votre pseudo-répertoire **~/gdrive**. Mais attention, dès la fin du montage, plus rien n'est accessible, car il ne s'agit __pas__ d'une réplication. <|> gdrive
149 Mot inconnu : gdrive [[276:282]] => Pendant le montage, tous les fichiers ou répertoires que vous déposerez dans votre pseudo-répertoire **~/gdrive** seront copiés sur votre Drive. Et à l'inverse tout ce qui sera déposé sur votre Drive, quel qu’en soit l'origine, sera accessible via votre pseudo-répertoire **~/gdrive**. Mais attention, dès la fin du montage, plus rien n'est accessible, car il ne s'agit __pas__ d'une réplication. <|> gdrive
149 Mot inconnu : __pas__ [[370:377]] => Pendant le montage, tous les fichiers ou répertoires que vous déposerez dans votre pseudo-répertoire **~/gdrive** seront copiés sur votre Drive. Et à l'inverse tout ce qui sera déposé sur votre Drive, quel qu’en soit l'origine, sera accessible via votre pseudo-répertoire **~/gdrive**. Mais attention, dès la fin du montage, plus rien n'est accessible, car il ne s'agit __pas__ d'une réplication. <|> __pas__

152 Mot inconnu : gdfuse [[209:215]] => Si à l'étape (voir 4.2) où votre navigateur doit s'ouvrir il ne se passe rien, cela peut venir d'une ancienne installation obsolète ou de la corruption d'un fichier de configuration. Supprimer le fichier **~/.gdfuse/default/state** (au terminal via un **rm ~/.gdfuse/default/state**) peut régler le problème. <|> gdfuse
152 Mot inconnu : default [[216:223]] => Si à l'étape (voir 4.2) où votre navigateur doit s'ouvrir il ne se passe rien, cela peut venir d'une ancienne installation obsolète ou de la corruption d'un fichier de configuration. Supprimer le fichier **~/.gdfuse/default/state** (au terminal via un **rm ~/.gdfuse/default/state**) peut régler le problème. <|> default
152 Mot inconnu : rm [[254:256]] => Si à l'étape (voir 4.2) où votre navigateur doit s'ouvrir il ne se passe rien, cela peut venir d'une ancienne installation obsolète ou de la corruption d'un fichier de configuration. Supprimer le fichier **~/.gdfuse/default/state** (au terminal via un **rm ~/.gdfuse/default/state**) peut régler le problème. <|> rm
152 Mot inconnu : gdfuse [[260:266]] => Si à l'étape (voir 4.2) où votre navigateur doit s'ouvrir il ne se passe rien, cela peut venir d'une ancienne installation obsolète ou de la corruption d'un fichier de configuration. Supprimer le fichier **~/.gdfuse/default/state** (au terminal via un **rm ~/.gdfuse/default/state**) peut régler le problème. <|> gdfuse
152 Mot inconnu : default [[267:274]] => Si à l'étape (voir 4.2) où votre navigateur doit s'ouvrir il ne se passe rien, cela peut venir d'une ancienne installation obsolète ou de la corruption d'un fichier de configuration. Supprimer le fichier **~/.gdfuse/default/state** (au terminal via un **rm ~/.gdfuse/default/state**) peut régler le problème. <|> default
155 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[6:28]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> google-drive-ocamlfuse => suggestions : ['Google-drive-ocamlfuse']
155 Mot inconnu : google-drive-ocamlfuse [[6:28]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> google-drive-ocamlfuse
155 Mot inconnu : google-drive-ocamlfuse [[109:131]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> google-drive-ocamlfuse
155 Guillemets typographiques ouvrants. [[176:177]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> " => suggestions : ['«\xa0', '“']
155 Mot inconnu : Allow [[177:182]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> allow
155 Guillemets typographiques fermants. [[182:183]] =>   * **google-drive-ocamlfuse** => votre navigateur web s'ouvre, vous demandant si vous souhaitez permettre à google-drive-ocamlfuse d'accéder à votre Google Drive. Cliquez sur "Allow", et patientez jusqu'à l'obtention du code d’autorisation. <|> " => suggestions : ['\xa0»', '”']

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  puis <|>   => suggestions : ['']
157 Mot inconnu : google-drive-ocamlfuse [[6:28]] =>   * **google-drive-ocamlfuse ~/gdrive** => cette commande "monte" Google Drive (le répertoire gdrive doit exister, bien sur). <|> google-drive-ocamlfuse
157 Mot inconnu : gdrive [[31:37]] =>   * **google-drive-ocamlfuse ~/gdrive** => cette commande "monte" Google Drive (le répertoire gdrive doit exister, bien sur). <|> gdrive
157 Guillemets typographiques ouvrants. [[58:59]] =>   * **google-drive-ocamlfuse ~/gdrive** => cette commande "monte" Google Drive (le répertoire gdrive doit exister, bien sur). <|> " => suggestions : ['«\xa0', '“']
157 Guillemets typographiques fermants. [[64:65]] =>   * **google-drive-ocamlfuse ~/gdrive** => cette commande "monte" Google Drive (le répertoire gdrive doit exister, bien sur). <|> " => suggestions : ['\xa0»', '”']
157 Mot inconnu : gdrive [[94:100]] =>   * **google-drive-ocamlfuse ~/gdrive** => cette commande "monte" Google Drive (le répertoire gdrive doit exister, bien sur). <|> gdrive
159 Mot inconnu : google-drive-ocamlfuse [[30:52]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> google-drive-ocamlfuse
159 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[129:130]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> a => suggestions : ['À']
159 Mot inconnu : __n'avez [[179:187]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> __n'avez
159 Mot inconnu : pas__ [[188:193]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> pas__
159 Mot inconnu : __ne [[275:279]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> __ne
159 Mot inconnu : accéder__ [[296:305]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|> accéder__
159 Espace(s) surnuméraire(s) à supprimer. [[514:516]] => **Attention !** La solution **google-drive-ocamlfuse** est un montage **fuse**, donc un simple accès internet au drive lui-même. A ce titre elle a une série de limitations : vous __n'avez pas__ une copie locale du contenu de votre Google Drive et si internet est coupé, vous __ne pouvez donc pas accéder__ à ces fichiers (sauf si vous en avez fait une copie manuelle). Il n'y a pas de synchro automatique, montante ou descendante. Enfin, vous n'accédez pas à d'autres fonctionnalités de G-Drive, comme les liens de  partage. \\ <|>    => suggestions : [' ']

166 Mot inconnu : gdfuse [[16:22]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> gdfuse
166 Mot inconnu : default [[23:30]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> default
166 Mot inconnu : ocamlfuse [[69:78]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> ocamlfuse
166 Mot inconnu : read_only [[179:188]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> read_only
166 Mot inconnu : false [[189:194]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> false
166 Mot inconnu : read_only [[218:227]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> read_only
166 Mot inconnu : true [[228:232]] => Le fichier **~/.gdfuse/default/config** contient des paramètres de **ocamlfuse** que vous pouvez modifier à la main (si vous comprenez ce que vous faite). Par exemple, la ligne **read_only=false** peut être passée à **read_only=true** pour mettre le partage en lecture seule. <|> true

168 Mot inconnu : GoSync [[6:12]] => ===== GoSync ===== <|> gosync

169 Mot inconnu : GoSync [[0:6]] => GoSync est un client écrit en Python. <|> gosync

181 Mot inconnu : Grive2 [[6:12]] => ===== Grive2 ===== <|> grive2

182 Mot inconnu : Grive2 [[0:6]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> grive2
182 Mot inconnu : github [[40:46]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> github
182 Mot inconnu : Vitaliy [[111:118]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> vitaliy
182 Mot inconnu : Filippov [[119:127]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> filippov
182 Mot inconnu : REST [[161:165]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> rest

184 Mot inconnu : Grive2 [[35:41]] => Il est important de comprendre que Grive2 remplace Grive: vous utilisez l'un ou l'autre. Grive étant obsolète, c'est Grive2 qu'il faut donc utiliser. <|> grive2
184 Mot inconnu : Grive2 [[117:123]] => Il est important de comprendre que Grive2 remplace Grive: vous utilisez l'un ou l'autre. Grive étant obsolète, c'est Grive2 qu'il faut donc utiliser. <|> grive2

197 Mot inconnu : grive2 [[55:61]] => <note>Le paquet s'appelle grive mais correspond bien à grive2</note> <|> grive2

200 Si vous parlez de la langue, pas de majuscule. [[16:23]] => Voir la page en Anglais http://yourcmc.ru/wiki/Grive2 <|> anglais => suggestions : ['anglais']
