
29 Mot inconnu : desactivation [[5:18]] => ==== desactivation du fichier de verrouillage ==== <|> desactivation
65 Guillemets typographiques fermants. [[75:76]] => Pour imposer la non-fermeture de cette fenêtre, remplacez "true" par "false" <|> " => suggestions : None

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

67 Guillemets typographiques ouvrants. [[24:25]] => === Interdire de cocher "Toujours demander où enregistrer les fichiers" === <|> " => suggestions : None
67 Guillemets typographiques fermants. [[70:71]] => === Interdire de cocher "Toujours demander où enregistrer les fichiers" === <|> " => suggestions : None

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

91 Guillemets typographiques ouvrants. [[77:78]] => Pour imposer la conservation des cookies jusqu’à leur suppression, remplacer "2" par "0". <|> " => suggestions : None
91 Guillemets typographiques fermants. [[79:80]] => Pour imposer la conservation des cookies jusqu’à leur suppression, remplacer "2" par "0". <|> " => suggestions : None
91 Guillemets typographiques ouvrants. [[85:86]] => Pour imposer la conservation des cookies jusqu’à leur suppression, remplacer "2" par "0". <|> " => suggestions : None
91 Guillemets typographiques fermants. [[87:88]] => Pour imposer la conservation des cookies jusqu’à leur suppression, remplacer "2" par "0". <|> " => suggestions : None

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

108 Guillemets typographiques ouvrants. [[7:8]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> " => suggestions : None
108 Mot inconnu : true [[8:12]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> true
108 Guillemets typographiques fermants. [[12:13]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> " => suggestions : None
108 Guillemets typographiques ouvrants. [[51:52]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> " => suggestions : None
108 Mot inconnu : false [[52:57]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> false
108 Guillemets typographiques fermants. [[57:58]] => Mettre "true" pour activer l’effacement, et mettre "false" pour le désactiver. <|> " => suggestions : None

114 Guillemets typographiques ouvrants. [[7:8]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> " => suggestions : None
114 Mot inconnu : true [[8:12]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> true
114 Guillemets typographiques fermants. [[12:13]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> " => suggestions : None
114 Guillemets typographiques ouvrants. [[49:50]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> " => suggestions : None
114 Mot inconnu : false [[50:55]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> false
114 Guillemets typographiques fermants. [[55:56]] => Mettre "true" pour activer la demande, et mettre "false" pour désactiver la demande. <|> " => suggestions : None

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Modifiez les adresses selon votre réseau ! <|>   => suggestions : None

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None
147 Mot inconnu : url [[138:141]] => Exemple : Firefox a associé l'ip locale `http://192.168.1.XX` au nom de domaine `https://ce.domaine.fr`. Du coup à chaque appel sur cette url il fait la redirection vers l'**IP**. Cependant cela peut causer un problème si l'application web installée à cette destination n'accepte pas les utilisateurs qui arrivent via l'IP locale mais uniquement ceux qui arrivent par le nom de domaine. (ou pour des raison de certificat)  <|> url
147 Accord de nombre erroné : « raison » devrait être au pluriel. [[400:406]] => Exemple : Firefox a associé l'ip locale `http://192.168.1.XX` au nom de domaine `https://ce.domaine.fr`. Du coup à chaque appel sur cette url il fait la redirection vers l'**IP**. Cependant cela peut causer un problème si l'application web installée à cette destination n'accepte pas les utilisateurs qui arrivent via l'IP locale mais uniquement ceux qui arrivent par le nom de domaine. (ou pour des raison de certificat)  <|> raison => suggestions : None
147 Espace(s) en fin de ligne à supprimer. [[421:422]] => Exemple : Firefox a associé l'ip locale `http://192.168.1.XX` au nom de domaine `https://ce.domaine.fr`. Du coup à chaque appel sur cette url il fait la redirection vers l'**IP**. Cependant cela peut causer un problème si l'application web installée à cette destination n'accepte pas les utilisateurs qui arrivent via l'IP locale mais uniquement ceux qui arrivent par le nom de domaine. (ou pour des raison de certificat)  <|>   => suggestions : None
148 Espace(s) en fin de ligne à supprimer. [[13:14]] => La solution :  <|>   => suggestions : None

156 Accord de nombre erroné avec « utiles ». [[0:4]] => lien utiles :  <|> lien => suggestions : None
156 Accord de nombre erroné avec « lien ». [[5:11]] => lien utiles :  <|> utiles => suggestions : None
156 Espace(s) en fin de ligne à supprimer. [[13:14]] => lien utiles :  <|>   => suggestions : None
157 Espace(s) en fin de ligne à supprimer. [[55:56]] =>   * https://support.mozilla.org/en-US/questions/1216065  <|>   => suggestions : None
